147,Type,Field,Bits,Units,Conversion,Module,ModuleNumber,ModuleLine,ModuleType,ShortName,Description
55,Unit10,Solar_array_voltage_2,10,V,55,Solar Array,3,4,0,Voltage 2,Solar_array_voltage_2
56,Unit10,Solar_array_voltage_3,10,V,56,Solar Array,3,5,0,Voltage 3,Solar_array_voltage_3
57,Unit10,Solar_array_voltage_4_0,10,-,0,None,0,0,0,Unused,
58,Unit10,Solar_array_voltage_4_1,10,-,0,None,0,0,0,Unused,
59,Unit10,Solar_array_voltage_4_2,10,-,0,None,0,0,0,Unused,
60,Unit10,Solar_array_voltage_4_3,10,-,0,None,0,0,0,Unused,
61,Unit10,Solar_array_voltage_4_4,10,-,0,None,0,0,0,Unused,
62,Unit10,EPS_bus_voltage_0,10,V,62,EPS,4,1,0,Bus Voltage 0,EPS_bus_voltage_0
63,Unit10,EPS_bus_voltage_1,10,V,63,EPS,4,2,0,Bus Voltage 1,EPS_bus_voltage_1
64,Unit10,EPS_bus_voltage_2,10,V,64,EPS,4,3,0,Bus Voltage 2,EPS_bus_voltage_2
65,Unit10,EPS_bus_voltage_3,10,V,65,EPS,4,4,0,Bus Voltage 3,EPS_bus_voltage_3
66,Unit10,EPS_bus_current_0,10,mA,66,EPS,4,5,0,Bus Current 0,EPS_bus_current_0
67,Unit10,EPS_bus_current_1,10,mA,67,EPS,4,6,0,Bus Current 1,EPS_bus_current_1
68,Unit10,EPS_bus_current_2,10,mA,68,EPS,4,7,0,Bus Current 2,EPS_bus_current_2
69,Unit10,EPS_bus_current_3,10,mA,69,EPS,4,8,0,Bus Current 3,EPS_bus_current_3
70,Sint16,ADCS_raw_gyro_rate_0,16,deg/s,70,Attitude Determination and Control,5,1,0,Raw Gyro 0,ADCS_raw_gyro_rate_0
71,Sint16,ADCS_raw_gyro_rate_1,16,deg/s,71,Attitude Determination and Control,5,2,0,Raw Gyro 1,ADCS_raw_gyro_rate_1
72,Sint16,ADCS_raw_gyro_rate_2,16,deg/s,72,Attitude Determination and Control,5,3,0,Raw Gyro 2,ADCS_raw_gyro_rate_2
73,Uint8,ADCS_MTQ_direction_duty_0,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_0,ADCS_MTQ_direction_duty_0
74,Uint8,ADCS_MTQ_direction_duty_1,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_1,ADCS_MTQ_direction_duty_1
75,Uint8,ADCS_MTQ_direction_duty_2,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_2,ADCS_MTQ_direction_duty_2
76,Uint8,ADCS_MTQ_direction_duty_3,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_3,ADCS_MTQ_direction_duty_3
77,Uint8,ADCS_MTQ_direction_duty_4,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_4,ADCS_MTQ_direction_duty_4
78,Uint8,ADCS_MTQ_direction_duty_5,8,-,0,None,0,0,0,ADCS_MTQ_direction_duty_5,ADCS_MTQ_direction_duty_5
79,Bit16,ADCS_status,16,-,0,None,0,0,0,ADCS_status,ADCS_status
80,Unit16,ADCS_bus_voltage_0,16,V,80,Attitude Determination and Control,5,4,0,Bus Voltage 0,ADCS_bus_voltage_0
81,Unit16,ADCS_bus_voltage_1,16,V,81,Attitude Determination and Control,5,5,0,Bus Voltage 1,ADCS_bus_voltage_1
82,Unit16,ADCS_bus_voltage_2,16,V,82,Attitude Determination and Control,5,6,0,Bus Voltage 2,ADCS_bus_voltage_2
83,Unit16,ADCS_bus_current_0,16,mA,83,Attitude Determination and Control,5,7,0,Bus Current 0,ADCS_bus_current_0
84,Unit16,ADCS_bus_current_0,16,mA,84,Attitude Determination and Control,5,8,0,Bus Current 1,ADCS_bus_current_0
85,Unit16,ADCS_bus_current_0,16,mA,85,Attitude Determination and Control,5,9,0,Bus Current 2,ADCS_bus_current_0
86,Uint16,ADCS_board_temperature,16,C,86,Attitude Determination and Control,5,10,0,Board Temperature,ADCS_board_temperature
87,Uint16,ADCS_ADC_reference,16,-,0,None,0,0,0,ADCS_ADC_reference,ADCS_ADC_reference
88,Uint16,ADCS_sensor_current,16,-,0,None,0,0,0,ADCS_sensor_current,ADCS_sensor_current
89,Uint16,ADCS_MTQ_current,16,-,0,None,0,0,0,ADCS_MTQ_current,ADCS_MTQ_current
90,Uint16,ADCS_array_temperature_0,16,-,90,Attitude Determination and Control,5,11,0,Array Temperature 0,ADCS_array_temperature_0
91,Uint16,ADCS_array_temperature_1,16,-,91,Attitude Determination and Control,5,12,0,Array Temperature 1,ADCS_array_temperature_1
92,Uint16,ADCS_array_temperature_2,16,-,92,Attitude Determination and Control,5,13,0,Array Temperature 2,ADCS_array_temperature_2
93,Uint16,ADCS_array_temperature_3,16,-,93,Attitude Determination and Control,5,14,0,Array Temperature 3,ADCS_array_temperature_3
94,Uint16,ADCS_array_temperature_4,16,-,94,Attitude Determination and Control,5,15,0,Array Temperature 4,ADCS_array_temperature_4
95,Uint16,ADCS_array_temperature_5,16,-,95,Attitude Determination and Control,5,16,0,Array Temperature 5,ADCS_array_temperature_5
96,Uint16,ADCS_CSS_raw_0,16,-,0,None,0,0,0,ADCS_CSS_raw_0,ADCS_CSS_raw_0
97,Uint16,ADCS_CSS_raw_1,16,-,0,None,0,0,0,ADCS_CSS_raw_1,ADCS_CSS_raw_1
98,Uint16,ADCS_CSS_raw_2,16,-,0,None,0,0,0,ADCS_CSS_raw_2,ADCS_CSS_raw_2
99,Uint16,ADCS_CSS_raw_3,16,-,0,None,0,0,0,ADCS_CSS_raw_3,ADCS_CSS_raw_3
100,Uint16,ADCS_CSS_raw_4,16,-,0,None,0,0,0,ADCS_CSS_raw_4,ADCS_CSS_raw_4
101,Uint16,ADCS_CSS_raw_5,16,-,0,None,0,0,0,ADCS_CSS_raw_5,ADCS_CSS_raw_5
102,Bit2,FSS_active_0,2,-,0,None,0,0,0,FSS_active_0,FSS_active_0
103,Bit2,FSS_active_1,2,-,0,None,0,0,0,FSS_active_1,FSS_active_1
104,Bit2,FSS_active_2,2,-,0,None,0,0,0,FSS_active_2,FSS_active_2
105,Bit2,FSS_active_3,2,-,0,None,0,0,0,FSS_active_3,FSS_active_3
106,Bit2,FSS_active_4,2,-,0,None,0,0,0,FSS_active_4,FSS_active_4
107,Bit2,FSS_active_5,2,-,0,None,0,0,0,FSS_active_5,FSS_active_5
108,Bit2,CSS_Active_selected_0,2,-,0,None,0,0,0,CSS_Active_selected_0,CSS_Active_selected_0
109,Bit2,CSS_Active_selected_1,2,-,0,None,0,0,0,CSS_Active_selected_1,CSS_Active_selected_1
110,Bit2,CSS_Active_selected_2,2,-,0,None,0,0,0,CSS_Active_selected_2,CSS_Active_selected_2
111,Bit2,CSS_Active_selected_3,2,-,0,None,0,0,0,CSS_Active_selected_3,CSS_Active_selected_3
112,Bit2,CSS_Active_selected_4,2,-,0,None,0,0,0,CSS_Active_selected_4,CSS_Active_selected_4
113,Bit2,CSS_Active_selected_5,2,-,0,None,0,0,0,CSS_Active_selected_5,CSS_Active_selected_5
114,Uint16,ADCS_sun_processed_0,16,-,0,None,0,0,0,ADCS_sun_processed_0,ADCS_sun_processed_0
115,Uint16,ADCS_sun_processed_1,16,-,0,None,0,0,0,ADCS_sun_processed_1,ADCS_sun_processed_1
116,Uint16,ADCS_sun_processed_2,16,-,0,None,0,0,0,ADCS_sun_processed_2,ADCS_sun_processed_2
117,Uint16,Reserved_0,16,-,0,None,0,0,0,Reserved_0,Reserved_0
118,Uint16,Reserved_1,16,-,0,None,0,0,0,Reserved_1,Reserved_1
119,Uint16,Reserved_2,16,-,0,None,0,0,0,Reserved_2,Reserved_2
120,Uint16,Reserved_3,16,-,0,None,0,0,0,Reserved_3,Reserved_3
121,Uint16,ADCS_detumble_counter,16,-,0,None,0,0,0,ADCS_detumble_counter,ADCS_detumble_counter
122,Uint16,ADCS_mode,16,-,0,None,0,0,0,ADCS_mode,ADCS_mode
123,Uint16,ADCS_state,16,-,0,None,0,0,0,ADCS_state,ADCS_state
124,Bit10,Reserved_4,10,-,0,None,0,0,0,Reserved_4,Reserved_4
125,Bit4,Reserved_5,4,-,0,None,0,0,0,Reserved_5,Reserved_5
126,Bit16,Reserved_6,16,-,0,None,0,0,0,Reserved_6,Reserved_6
127,Bit3,Reserved_7,3,-,0,None,0,0,0,Reserved_7,Reserved_7
128,Bit4,Reserved_8,4,-,0,None,0,0,0,Reserved_8,Reserved_8
129,Bit1,CMC_rx_lock,1,-,0,None,0,0,0,CMC_rx_lock,CMC_rx_lock
130,Uint16,CMC_rx_frame_count,16,-,0,None,0,0,0,CMC_rx_frame_count,CMC_rx_frame_count
131,Uint16,CMC_rx_packet_count,16,-,0,None,0,0,0,CMC_rx_packet_count,CMC_rx_packet_count
132,Uint16,CMC_rx_dropped_error_count,16,-,0,None,0,0,0,CMC_rx_dropped_error_count,CMC_rx_dropped_error_count
133,Uint16,CMC_rx_CRC_error_count,16,-,0,None,0,0,0,CMC_rx_CRC_error_count,CMC_rx_CRC_error_count
134,Unit8,CMC_rx_overrun_error_count,8,-,0,None,0,0,0,CMC_rx_overrun_error_count,CMC_rx_overrun_error_count
135,Uint16,CMC_rx_protocol_error_count,16,-,0,None,0,0,0,CMC_rx_protocol_error_count,CMC_rx_protocol_error_count
136,Sint8,CMC_SMPS_temperature,8,C,136,CMC Radio,6,1,0,SMPS Temperature,CMC_SMPS_temperature
137,Sint8,CMC_PA_temperature,8,C,137,CMC Radio,6,2,0,PA Temperature,CMC_PA_temperature
138,Bit1,AX25_mux_channel_enabled_0,1,-,0,None,0,0,0,AX25_mux_channel_enabled_0,AX25_mux_channel_enabled_0
139,Bit1,AX25_mux_channel_enabled_1,1,-,0,None,0,0,0,AX25_mux_channel_enabled_1,AX25_mux_channel_enabled_1
140,Bit1,AX25_mux_channel_enabled_2,1,-,0,None,0,0,0,AX25_mux_channel_enabled_2,AX25_mux_channel_enabled_2
141,Bit1,Digipeater_enabled,1,-,0,None,0,0,0,Digipeater_enabled,Digipeater_enabled
142,Bit1,Pacsat_broadcast_enabled,1,-,0,None,0,0,0,Pacsat_broadcast_enabled,Pacsat_broadcast_enabled
143,Bit1,Pacsat_broadcast_in_progress,1,-,0,None,0,0,0,Pacsat_broadcast_in_progress,Pacsat_broadcast_in_progress
144,Bit1,ParamValid_flags_x40,40,-,0,None,0,0,0,ParamValid_flags_x40,ParamValid_flags_x40
145,Bit1,Padding_x5,5,-,0,None,0,0,0,Padding_x5,Padding_x5
146,Bit1,CheckSumBytes_x2,16,-,0,None,0,0,0,CheckSumBytes_x2,CheckSumBytes_x2
