47,Type,Field,Bits,Units,Conversion,Module,ModuleNumber,ModuleLine,ModuleType,ShortName,Description
32,Raw8,SADM_telemetry_1,64,-,32,SADM,6,3,0,SADM telemetry 1,"Bytes 0-3 Timestamp, 4-5 Average Temp, 6-7 Battery V (moving average)"
33,Raw8,SADM_telemetry_2,64,-,33,SADM,6,4,0,SADM telemetry 2,"Bytes 0-3 Timestamp, 4-5 Average Temp, 6-7 Battery V (moving average)"
34,Raw8,SADM_telemetry_3,64,-,34,SADM,6,5,0,SADM telemetry 3,"Bytes 0-3 Timestamp, 4-5 Average Temp, 6-7 Battery V (moving average)"
35,Raw8,SADM_telemetry_4,64,-,35,SADM,6,6,0,SADM telemetry 4,"Bytes 0-3 Timestamp, 4-5 Average Temp, 6-7 Battery V (moving average)"
36,Raw8,SADM_telemetry_5,64,-,36,SADM,6,7,0,SADM telemetry 5,"Bytes 0-3 Timestamp, 4-5 Average Temp, 6-7 Battery V (moving average)"
37,Raw8,SADM_telemetry_6,64,-,37,SADM,6,8,0,SADM telemetry 6,"Bytes 0-3 Timestamp, 4-5 Average Temp, 6-7 Battery V (moving average)"
38,Raw8,SADM_telemetry_7,64,-,38,SADM,6,9,0,SADM telemetry 7,"Bytes 0-3 Timestamp, 4-5 Average Temp, 6-7 Battery V (moving average)"
39,Raw8,SADM_telemetry_8,64,-,39,SADM,6,10,0,SADM telemetry 8,"Bytes 0-3 Timestamp, 4-5 Average Temp, 6-7 Battery V (moving average)"
40,Raw8,SADM_telemetry_9,64,-,40,SADM,6,11,0,SADM telemetry 9,"Bytes 0-3 Timestamp, 4-5 Average Temp, 6-7 Battery V (moving average)"
41,Uint32,I2C_nack_addr_count,32,-,0,None,0,0,0,I2C nack addr count,I2C_nack_addr_count
42,Uint32,I2C_hw_state_error_count,32,-,0,None,0,0,0,I2C hw state error count,I2C_hw_state_error_count
43,Uint32,I2C_isr_error_count,32,-,0,None,0,0,0,I2C isr error count,I2C_isr_error_count
44,Bit1,Battery_current_direction,1,-,44,Battery,2,1,0,Charging,Battery current direction 1 = charging 0 = discharging
45,Unit10,Battery_current_0,10,mA,45,Battery,2,2,0,Current 5V,Battery_current_0
46,Bit1,Pad,1,-,0,None,0,0,0,Current 3V3,Battery_current_1
